2012-2013,La-Liga
Rk,Club,Mp,W,D,L,Pts
20,Espanyol,38,5,10,23,25
﻿2020-2021,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Atlético Madrid,38,26,8,4,86
2,Real Madrid,38,25,9,4,84
3,Barcelona,38,24,7,7,79
4,Sevilla,38,24,5,9,77
5,Real Sociedad,38,17,11,10,62
6,Betis,38,17,10,11,61
7,Villarreal,38,15,13,10,58
8,Celta Vigo,38,14,11,13,53
9,Granada,38,13,7,18,46
10,Athletic Club,38,11,13,14,46
11,Osasuna,38,11,11,16,44
12,Cádiz,38,11,11,16,44
13,Valencia,38,10,13,15,43
14,Levante,38,9,14,15,41
15,Getafe,38,9,11,18,38
16,Alavés,38,9,11,18,38
17,Elche,38,8,12,18,36
18,Huesca,38,7,13,18,34
19,Valladolid,38,5,16,17,31
20,Eibar,38,6,12,20,30
﻿2021-2022,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Real Madrid,38,26,8,4,86
2,Barcelona,38,21,10,7,73
3,Atlético Madrid,38,21,8,9,71
4,Sevilla,38,18,16,4,70
5,Betis,38,19,8,11,65
6,Real Sociedad,38,17,11,10,62
7,Villarreal,38,16,11,11,59
8,Athletic Club,38,14,13,11,55
9,Valencia,38,11,15,12,48
10,Osasuna,38,12,11,15,47
11,Celta Vigo,38,12,10,16,46
12,Rayo Vallecano,38,11,9,18,42
13,Elche,38,11,9,18,42
14,Espanyol,38,10,12,16,42
15,Getafe,38,8,15,15,39
16,Mallorca,38,10,9,19,39
17,Cádiz,38,8,15,15,39
18,Granada,38,8,14,16,38
19,Levante,38,8,11,19,35
20,Alavés,38,8,7,23,31

